,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
119,27.347933626174928,0.10264348983764648,0.6145289980785239,0.6437482880360349,0.001,"(50, 50)",11,"{'NN__alpha': 0.001, 'pca__n_components': 11, 'NN__hidden_layer_sizes': (50, 50)}",141,0.6914964847673252,0.7164134409280041,0.6214429193170405,0.6368522254444585,0.5913123535319719,0.5785104862774765,0.5236859725477067,0.6129612701214643,0.6448220064724922,0.6740040174087714,7.560589471148428,0.023128632480929015,0.05601667679939935,0.04784767608634201
120,27.347841358184816,0.10438833236694336,0.6214559084916612,0.6506743507580468,0.001,"(50, 50)",12,"{'NN__alpha': 0.001, 'pca__n_components': 12, 'NN__hidden_layer_sizes': (50, 50)}",121,0.6963508536993639,0.6950311015844995,0.6645463675929026,0.6913088933720002,0.5579176431201874,0.5650979279620056,0.6088048208905257,0.6736487622409953,0.5795009368080398,0.6282850686307332,6.089217585675149,0.026991641299819596,0.05182070190737205,0.04893079822168505
121,8.704835176467896,0.07042756080627441,0.6571444684010186,0.6624331699992898,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'pca__n_components': 2, 'NN__hidden_layer_sizes': (50,)}",58,0.6981921660528961,0.6433536124070105,0.6413625711416138,0.6727425083007608,0.6605289588215602,0.6686131425209095,0.6567626380984266,0.6683504602193924,0.6287685232498725,0.6591061265483763,3.0680070745178964,0.09146628857826787,0.02345126780202871,0.010531738471614663
122,6.925544500350952,0.02833094596862793,0.5703021409370332,0.5648500826815188,0.001,"(50,)",3,"{'NN__alpha': 0.001, 'pca__n_components': 3, 'NN__hidden_layer_sizes': (50,)}",189,0.7049715433545365,0.6684502794939688,0.49271844660194175,0.4884708737864077,0.5,0.4981796116504854,0.49757281553398053,0.4981796116504854,0.6565746891500599,0.670970036826247,3.5283804084596935,0.01578575021024856,0.09146963973643153,0.08569496182821992
123,7.221228981018067,0.04653091430664062,0.6654267559924681,0.6802566170577553,0.001,"(50,)",4,"{'NN__alpha': 0.001, 'pca__n_components': 4, 'NN__hidden_layer_sizes': (50,)}",43,0.6335788416471377,0.6592485184718194,0.6586039504519586,0.6761206026982725,0.6911617007030466,0.7076004497121003,0.6968530297957818,0.7033712646576724,0.6468659512859823,0.6549422497489119,2.426934245640573,0.0067840611112173115,0.024723479789843458,0.021823089291493396
124,9.902697896957397,0.04469046592712402,0.6610618890264857,0.6741798515066008,0.001,"(50,)",5,"{'NN__alpha': 0.001, 'pca__n_components': 5, 'NN__hidden_layer_sizes': (50,)}",49,0.6877301640441916,0.6667927541713949,0.7116672246401072,0.7040148362963897,0.6640441914964849,0.6568397217669063,0.6139102778707735,0.6757134451309209,0.6278317152103562,0.667538500167392,1.1531489762399019,0.016908523719017847,0.03635748678522089,0.01607379905841519
125,8.132197046279908,0.043707847595214844,0.6543485853005444,0.6585273921480818,0.001,"(50,)",6,"{'NN__alpha': 0.001, 'pca__n_components': 6, 'NN__hidden_layer_sizes': (50,)}",63,0.714931369266823,0.6811562224183584,0.7178607298292601,0.6861734543773378,0.6497321727485772,0.6452107762787375,0.6031134917977905,0.6595742445257008,0.5858456821665818,0.6205222631402746,1.4010958360743653,0.018252797946858402,0.05483917626149449,0.024079811897924575
126,7.2587082862854,0.04640231132507324,0.576101662685153,0.5939071111903385,0.001,"(50,)",7,"{'NN__alpha': 0.001, 'pca__n_components': 7, 'NN__hidden_layer_sizes': (50,)}",185,0.5,0.5074444164249989,0.5692166052895882,0.5742813012230488,0.6072145965852026,0.6162579330055058,0.6333277535989287,0.6608430000420291,0.5707290069834783,0.6107089052561098,1.67832839386462,0.02136652605654407,0.04498472753140253,0.051231323892642615
127,8.736162853240966,0.0411017894744873,0.6532323946221149,0.6672995860851569,0.001,"(50,)",8,"{'NN__alpha': 0.001, 'pca__n_components': 8, 'NN__hidden_layer_sizes': (50,)}",67,0.6976899899564781,0.6808935401168411,0.6421995313023101,0.6787474257134452,0.6616170070304654,0.6731233976379608,0.673167057248075,0.6706778254108352,0.5912536194856075,0.6330557415467025,2.590564097502815,0.02317032656608387,0.03577026396226503,0.017514672643749375
128,11.776845598220826,0.06645503044128417,0.649910648104553,0.6842605837416684,0.001,"(50,)",9,"{'NN__alpha': 0.001, 'pca__n_components': 9, 'NN__hidden_layer_sizes': (50,)}",79,0.6521593572145966,0.6753693313159332,0.6976899899564781,0.6990974236119867,0.640860395045196,0.6837646576724247,0.6381821225309675,0.6791913588030093,0.620550161812298,0.6838801473049883,0.8578566005745052,0.02876683068339683,0.025956550260918393,0.008065654382166897
129,8.009231615066529,0.052274560928344725,0.6199591009319918,0.6220882844418163,0.001,"(50,)",10,"{'NN__alpha': 0.001, 'pca__n_components': 10, 'NN__hidden_layer_sizes': (50,)}",126,0.6247070639437563,0.6496763754045307,0.6629561432875795,0.6385911822805026,0.5579176431201874,0.5594738998865212,0.5899732172748577,0.5944500483335434,0.6644098109351051,0.6682499163039839,1.2490016469200473,0.0071117696651872295,0.04145956284804531,0.03962014110180433
130,8.519293022155761,0.05727639198303223,0.5972914104315968,0.6179975239022779,0.001,"(50,)",11,"{'NN__alpha': 0.001, 'pca__n_components': 11, 'NN__hidden_layer_sizes': (50,)}",160,0.5112989621694007,0.5559145547009624,0.6222798794777369,0.6013691001555079,0.628222296618681,0.6522664228974909,0.6419484432541012,0.6531359013155131,0.5826520183955035,0.627301640441915,2.1800444940904793,0.029646072163656934,0.04731188835833339,0.036404475360361545
131,5.038933372497558,0.024686527252197266,0.5849376021558842,0.5869692187067479,0.001,"(50,)",12,"{'NN__alpha': 0.001, 'pca__n_components': 12, 'NN__hidden_layer_sizes': (50,)}",173,0.6123200535654503,0.5733120035304501,0.5621861399397389,0.5926112722229226,0.5568295949112823,0.5739187996469549,0.5608470036826247,0.5916603622914303,0.6326860841423951,0.6033436558419819,1.2089110047249632,0.01204385754614468,0.03134596631004101,0.011651564285666747
132,1.2237303733825684,0.005246591567993164,0.6824964439741031,0.6764612382372678,0.001,"(25,)",2,"{'NN__alpha': 0.001, 'pca__n_components': 2, 'NN__hidden_layer_sizes': (25,)}",19,0.7017073987278206,0.6658050687176901,0.6798627385336458,0.6941248476442652,0.6863910277870774,0.674925398226369,0.6791094743890191,0.6771713319043416,0.6653466189746213,0.6702795446936726,0.29375956849626045,0.003438127195097603,0.011799714840325447,0.009660573675874192
133,1.3686548709869384,0.00686488151550293,0.7005591414420081,0.6878175919605448,0.001,"(25,)",3,"{'NN__alpha': 0.001, 'pca__n_components': 3, 'NN__hidden_layer_sizes': (25,)}",1,0.7359390693003014,0.6674809818013702,0.6922497489119519,0.690484070945236,0.7060595915634417,0.6563957886773422,0.7170237696685638,0.7357205900895222,0.6513370805654917,0.6890065282892535,0.2249014620970265,0.005952608817107944,0.028421181909543587,0.02721811288039221
134,1.476365900039673,0.0052258014678955075,0.698200329372873,0.6976130512161648,0.001,"(25,)",4,"{'NN__alpha': 0.001, 'pca__n_components': 4, 'NN__hidden_layer_sizes': (25,)}",6,0.7267325075326415,0.6944137981759341,0.6699029126213593,0.7075557937208422,0.7019584867760296,0.679036376245114,0.7366086374288585,0.7429732484344135,0.6556378811105436,0.6640860395045197,0.33468558040031904,0.0034886302885643217,0.03134508743264093,0.026965882917127003
135,1.0469154834747314,0.008908319473266601,0.6283263391503953,0.6385457291843298,0.001,"(25,)",5,"{'NN__alpha': 0.001, 'pca__n_components': 5, 'NN__hidden_layer_sizes': (25,)}",114,0.629812520924004,0.6256672130458538,0.6437897556076332,0.6220264363468246,0.5926514897890861,0.6146818391964023,0.617425510545698,0.6528548312528895,0.6580650655765631,0.6774983260796787,0.09925582942455863,0.009309470895933609,0.02243121357813583,0.023367856838127664
136,1.2700963020324707,0.013450384140014648,0.6529479597513348,0.6620878242948882,0.001,"(25,)",6,"{'NN__alpha': 0.001, 'pca__n_components': 6, 'NN__hidden_layer_sizes': (25,)}",71,0.6605289588215602,0.6649907535829865,0.6149983260796786,0.6411812297734628,0.6823736190157349,0.6675808010759468,0.6532474054235019,0.6755505821039801,0.6535939362970536,0.661135754938065,0.2720321245741012,0.0042730428840047,0.021752302505528356,0.011470290063801425
137,1.2336576938629151,0.005703401565551758,0.5510756644090841,0.5689280533103767,0.001,"(25,)",7,"{'NN__alpha': 0.001, 'pca__n_components': 7, 'NN__hidden_layer_sizes': (25,)}",209,0.49891195179109477,0.508132644054974,0.5013391362571141,0.500425545328458,0.5320555741546702,0.5350575799604925,0.6271342484097757,0.6532173328289832,0.5961079884176463,0.6478071643789756,0.329435827371941,0.006384182615254333,0.05171422640598956,0.06762023536786615
138,0.9231395244598388,0.00243377685546875,0.5797160563756184,0.5787265922895317,0.001,"(25,)",8,"{'NN__alpha': 0.001, 'pca__n_components': 8, 'NN__hidden_layer_sizes': (25,)}",180,0.6309005691329094,0.6496763754045307,0.5975058587211249,0.5539313033245072,0.5210077000334783,0.5106412600344639,0.5148141948443253,0.5078699617534569,0.6345597002214276,0.6715140609306997,0.21548271464406715,0.0028311125704573625,0.05215743605557475,0.06915846582301978
139,1.1008554935455321,0.0052567005157470705,0.6474198347172282,0.6658842176125404,0.001,"(25,)",9,"{'NN__alpha': 0.001, 'pca__n_components': 9, 'NN__hidden_layer_sizes': (25,)}",85,0.6402745229327085,0.643634682469634,0.6833779712085705,0.7039334047829194,0.6826247070639437,0.652329466649855,0.5772514228322733,0.6770084688774008,0.6535939362970536,0.6525150652828926,0.1765643856572401,0.003431564674737833,0.0388605906030895,0.022040857207828658
140,0.7238375663757324,0.00704488754272461,0.5905903511290058,0.6092424677208742,0.001,"(25,)",10,"{'NN__alpha': 0.001, 'pca__n_components': 10, 'NN__hidden_layer_sizes': (25,)}",169,0.5902243053230667,0.5983351195729837,0.5487110813525277,0.5890335392762577,0.5880482089052562,0.5803755306182491,0.6031134917977905,0.6009698230572017,0.6229773462783175,0.6774983260796786,0.21870085331773192,0.005977654922240571,0.024349492287796662,0.034894039434305676
141,0.800716781616211,0.01078653335571289,0.5619714255880979,0.5698964814339772,0.001,"(25,)",11,"{'NN__alpha': 0.001, 'pca__n_components': 11, 'NN__hidden_layer_sizes': (25,)}",194,0.5296283896886509,0.5573908292354893,0.5382490793438232,0.5445850670365233,0.6319886173418146,0.6246532593619972,0.5950786742551054,0.5887262009834825,0.5147334355305742,0.5341270505523937,0.23029387506497084,0.012882519008700605,0.044357066863061845,0.03295261533982722
142,1.19414324760437,0.007071590423583985,0.6456474836595673,0.6749251264860572,0.001,"(25,)",12,"{'NN__alpha': 0.001, 'pca__n_components': 12, 'NN__hidden_layer_sizes': (25,)}",90,0.6227820555741548,0.6949128945488168,0.7054737194509543,0.7333669566679276,0.6828757951121528,0.6931923254738789,0.6397723468362905,0.6848784306308578,0.5770737523420203,0.5682750251088049,0.26464490695329823,0.00601427296186266,0.045199012857696674,0.055896263440725666
143,1.226042890548706,0.006870794296264649,0.6194577564188309,0.6202118270079435,0.001,"(25, 25)",2,"{'NN__alpha': 0.001, 'pca__n_components': 2, 'NN__hidden_layer_sizes': (25, 25)}",133,0.6694007365249415,0.692159984028916,0.5581687311683964,0.5613757197495062,0.6704887847338467,0.6725980330349262,0.6987780381653833,0.674925398226369,0.5000000000000002,0.5,0.4194562626807957,0.0028718214390796347,0.07666144017508406,0.07593022800703786
144,1.1306315898895263,0.007190513610839844,0.5820403850137414,0.5864367163915205,0.001,"(25, 25)",3,"{'NN__alpha': 0.001, 'pca__n_components': 3, 'NN__hidden_layer_sizes': (25, 25)}",177,0.6198526950117175,0.5900212247299625,0.544944760629394,0.5868874248728617,0.6171744224974892,0.6049914890934308,0.5914797455641111,0.6005889337200018,0.536578095724749,0.5496945095413458,0.19494600641776705,0.005997269610744054,0.03519386547589278,0.01953256996770604
145,1.2597720146179199,0.018896150588989257,0.6352616065856336,0.6444834542758883,0.001,"(25, 25)",4,"{'NN__alpha': 0.001, 'pca__n_components': 4, 'NN__hidden_layer_sizes': (25, 25)}",111,0.7098259122865752,0.7016874711049469,0.6262972882490793,0.6593667255075023,0.5778372949447607,0.5735746858319675,0.5950786742551055,0.6158139999159417,0.6673905637881113,0.6719743890190828,0.2793633930004721,0.01726246037224255,0.048144686205010154,0.044943417432407685
